"WindowBuilder Pro","Empty command","⇧⌘A","WindowBuilder Java scope"
"Text Editing","Text Start","⌘↖","Editing Text"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"File","Properties","⌥↩","In Windows"
"Server","Stop","⌥⌘S","In Servers View"
"Window","Previous View","⇧⌘F7","In Windows"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Edit","Select Previous Element","⇧⌃←","Editing Java Source"
"PyDev - Editor","Remove Comment Block","⌘5","PyDev editor scope"
"Refactoring","Rename Resource","⌃R ⌃R","Editing Ant Buildfiles"
"Navigate","Forward History","⌥⌘→","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Git","Commit...","⌥⌘3","In Windows"
"Text Editing","Cut to Beginning of Line","⌥0 ⌃K","Editing Text"
"Navigate","Previous","⌃,","In Windows"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Uncategorized","Dump Log Sniffer Buffer ()","⇧⌃⌥Z","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Text Editing","Set Mark","⌃2","Editing Text"
"pepticcategory","Extract Local Variable...","⌃R ⌃V","PyDev editor scope"
"Uncategorized","Display Command","⇧⌘D","PyDev editor scope"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Edit","Quick Fix","⌃1","In Dialogs and Windows"
"Text Editing","Next Word","Esc F","Editing Text"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"pepticcategory","Rename...","⌃R ⌃R","PyDev editor scope"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Source","Quick Assist - Rename in file","⌃R ⌃R","Editing Java Source"
"Source","Rename In File","⌃R ⌃R","Editing Ant Buildfiles"
"PyDev - Editor","Python Format Code","⇧⌘F","PyDev editor scope"
"Source","Quick Assist - Rename in file","⌃R ⌃R","Editing JavaScript Source"
"PyDev - Editor","Python Show Outline","⌘O","PyDev editor scope"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"WindowBuilder Pro","Empty command","⇧⌘A","WindowBuilder XML scope"
"Project","Build All","⌃C ⌃C","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Server","Publish","⌥⌘P","In Servers View"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"File","Save All","⇧⌘S","In Windows"
"File","Save All","⌃X S","In Windows"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Views","Show View","⌥⌘Q Q","In Windows"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"File","Close","⌃X K","In Windows"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Edit","Incremental Find Reverse","⌃R","Editing Text"
"PyDev - Editor","Go to Matching Bracket","⇧⌘P","PyDev editor scope"
"Navigate","Forward History","⌘]","In Windows"
"Search","Open Search Dialog","⌃H","In Windows"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"PyDev - Editor","Deselect Enclosing Scope","⇧⌥↓","PyDev editor scope"
"Source","Format","⇧⌘F","Editing JavaScript Source"
"Run/Debug","Execute","⌘U","In Windows"
"Navigate","Open Resource","⇧⌘R","In Windows"
"PyDev - Editor","Python Un Collapse All","⌘0","PyDev editor scope"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Text Editing","Delete Previous Word","Esc ⌫","Editing Text"
"Edit","Select Next Element","⇧⌃→","Editing Java Source"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Source","Open Declaration","⌃.","Editing Ant Buildfiles"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"File","Save","⌃X ⌃S","In Windows"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Edit","Word Completion","⌃.","Editing Text"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"PyDev - Editor","Python Show Global Tokens (Global)","⇧⌘T","PyDev view"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Search","References in Workspace","⇧⌘G","In Windows"
"Text Editing","Scroll Line Up","⌥Z","Editing Text"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Navigate","Open Manifest","⇧⌥⌘M","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"PyDev - Editor","Show Python Class Hierarchy","F4","PyDev editor scope"
"Edit","Redo","⇧⌃+","In Windows"
"Source","Quick Assist - Extract local variable","⌃R ⌃V","PyDev editor scope"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"pepticcategory","Extract Method...","⌃R ⌃M","PyDev editor scope"
"Server","Debug","⌥⌘D","In Servers View"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Navigate","Open Type","⇧⌘T","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Edit","Find and Replace","Esc R","In Windows"
"Navigate","Next Page","⌥F7","In Windows"
"Navigate","Go to Line","⌃X G","Editing Text"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Text Editing","Clear Mark","⌃G","Editing Text"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Run/Debug","Debug","⌘F11","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
